ctrai	con trai
khôg	không
bme	bố mẹ
cta	chúng ta
mih	mình
mqh	mối quan hệ
cgai	con gái
nhữg	những
mng	mọi người
svtn	sinh viên tình nguyện
sv	sinh viên
qtam	quan tâm
thươg	thương
thw	thương
qtâm	quan tâm
chug	chung
trườg	trường
thoy	thôi
hoi	thôi
đki	đăng ký
ạk	ạ
í	ý
t	tôi
cùg	cùng
pn	bạn
pjt	biết
thjk	thích
ktra	kiểm tra
nek	nè
cgái	con gái
nthe	như thế
chúg	chúng
kái	cái
tìh	tình
phòg	phòng
lòg	lòng
từg	từng
rằg	rằng
sốg	sống
thuj	thôi
thui	thôi
thuơg	thương
càg	càng
đky	đăng ký
bằg	bằng
sviên	sinh viên
ák	á
đág	đáng
nvay	như vậy
nv	như vậy
nhjeu	nhiều
xg	xuống
zồi	rồi
trag	trang
zữ	dữ
xự	sự
atrai	anh trai
kte	kinh tế
độg	động
gắg	gắng
đzai	đẹp trai
thgian	thời gian
plz	please
đồg	đồng
btrai	bạn trai
nthê	như thế
vọg	vọng
đôg	đông
răg	răng
thườg	thường
tcảm	tình cảm
đứg	đứng
ksao	không sao
dz	đẹp trai
cmày	chúng mày
xuốg	xuống
nkư	như
lquan	liên quan
tiếg	tiếng
xih	xinh
hìh	hình
thàh	thành
ngke	nghe
dzậy	dậy
tnào	thế nào
tưởg	tưởng
ctrinh	chương trình
phog	phong
hôg	không
zìa	gì
kũg	cũng
ntnao	như thế nào
trọg	trọng
nthế	như thế
năg	năng
ngđó	người đó
lquen	làm quen
riêg	riêng
ngag	ngang
bnhiu	bao nhiêu
ngốk	ngốc
kậu	cậu
kqua	kết quả
htrc	hôm trước
địh	định
gđình	gia đinh
giốg	giống
csống	cuộc sống
zùi	rồi
r	rồi
tr	trời
ch	chưa
cs	có
bnhiêu	bao nhiêu
cbị	chuẩn bị
kòn	còn
buôg	buông
csong	cuộc sống
chàg	chàng
chăg	chăng
ngàh	ngành
llac	liên lạc
nkưng	nhưng
nắg	nắng
tíh	tính
khoảg	khoảng
thík	thích
ngđo	người đó
ngkhác	người khác
thẳg	thẳng
kảm	cảm
dàh	dành
lặg	lặng
vđê	vấn đề
bbè	bạn bè
bóg	bóng
dky	đăng ký
dòg	dòng
uốg	uống
tyêu	tình yêu
xợ	sợ
snvv	sinh nhật vui vẻ
đthoại	điện thoại
qhe	quan hệ
cviec	công việc
tượg	tượng
qà	quà
thjc	thích
nhưq	nhưng
cđời	cuộc đời
bthường	bình thường
zà	già
đáh	đánh
xloi	xin lỗi
qtrọng	quan trọng
bìh	bình
lzi	làm gì
qhệ	quan hệ
lz	làm gì
đóg	đóng
cka	cha
lgi	làm gì
nvậy	như vậy
qả	quả
đkiện	điều kiện
nà	nè
nèk	nè
tlai	tương lai
bsĩ	bác sĩ
hkì	học kỳ
vde	vấn đề
chta	chúng ta
òy	rồi
ltinh	linh tinh
ngyeu	người yêu
đthoai	điện thoại
snghĩ	suy nghĩ
nặg	nặng
họk	học
dừg	dừng
hphúc	hạnh phúc
wtâm	quan tâm
thíck	thích
chuện	chuyện
lạh	lạnh
ntnày	như thế này
lúk	lúc
ms	mới
nyêu	người yêu
c	chị
kb	kết bạn
dthương	dễ thương
dthw	dễ thương
ctrình	chương trình
mìnk	mình
mjh	mình
ng	người
vc	vợ chồng
uhm	ừm
thỳ	thì
nyc	người yêu cũ
tks	thanks
thks	thanks
ths	thanks
nàg	nàng
đjên	điên
bgái	bạn gái
xink	xinh
hđộng	hành động
đhọc	đại học
đh	đại học
mk	mình
